#hypeR	v1.5.0
#Signature Head	IDH3B,DLST,PCK2,CS,PDHB,PCK1
#Signature Size	24
#Signature Type	symbols
#Genesets	C2.CP:KEGG v7.1.1
#Background	2522
#P-Value	1
#FDR	1
#Test	hypergeometric
#Power	1
#Absolute	FALSE
label	pval	fdr	signature	geneset	overlap	background	hits
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	1	1	24	70	0	2522	
KEGG_MISMATCH_REPAIR	1	1	24	23	0	2522	
KEGG_MTOR_SIGNALING_PATHWAY	1	1	24	52	0	2522	
KEGG_N_GLYCAN_BIOSYNTHESIS	1	1	24	46	0	2522	
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	1	1	24	137	0	2522	
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	1	1	24	272	0	2522	
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1	1	24	126	0	2522	
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	1	1	24	24	0	2522	
KEGG_NITROGEN_METABOLISM	1	1	24	23	0	2522	
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	1	24	62	0	2522	
KEGG_NON_HOMOLOGOUS_END_JOINING	1	1	24	13	0	2522	
KEGG_NON_SMALL_CELL_LUNG_CANCER	1	1	24	54	0	2522	
KEGG_NOTCH_SIGNALING_PATHWAY	1	1	24	47	0	2522	
KEGG_NUCLEOTIDE_EXCISION_REPAIR	1	1	24	44	0	2522	
KEGG_O_GLYCAN_BIOSYNTHESIS	1	1	24	30	0	2522	
KEGG_OLFACTORY_TRANSDUCTION	1	1	24	389	0	2522	
KEGG_ONE_CARBON_POOL_BY_FOLATE	1	1	24	17	0	2522	
KEGG_OOCYTE_MEIOSIS	1	1	24	112	0	2522	
KEGG_OTHER_GLYCAN_DEGRADATION	1	1	24	16	0	2522	
KEGG_P53_SIGNALING_PATHWAY	1	1	24	68	0	2522	
KEGG_PANCREATIC_CANCER	1	1	24	70	0	2522	
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	1	1	24	16	0	2522	
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	1	1	24	56	0	2522	
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	1	1	24	28	0	2522	
KEGG_PENTOSE_PHOSPHATE_PATHWAY	1	1	24	27	0	2522	
KEGG_PHENYLALANINE_METABOLISM	1	1	24	18	0	2522	
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	1	1	24	76	0	2522	
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	1	1	24	41	0	2522	
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	1	1	24	16	0	2522	
KEGG_PRIMARY_IMMUNODEFICIENCY	1	1	24	35	0	2522	
KEGG_PRION_DISEASES	1	1	24	35	0	2522	
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1	1	24	85	0	2522	
KEGG_PROSTATE_CANCER	1	1	24	89	0	2522	
KEGG_PROTEASOME	1	1	24	46	0	2522	
KEGG_PROTEIN_EXPORT	1	1	24	24	0	2522	
KEGG_PURINE_METABOLISM	1	1	24	159	0	2522	
KEGG_PYRIMIDINE_METABOLISM	1	1	24	98	0	2522	
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1	1	24	213	0	2522	
KEGG_REGULATION_OF_AUTOPHAGY	1	1	24	35	0	2522	
KEGG_RENIN_ANGIOTENSIN_SYSTEM	1	1	24	17	0	2522	
KEGG_RETINOL_METABOLISM	1	1	24	64	0	2522	
KEGG_RIBOFLAVIN_METABOLISM	1	1	24	16	0	2522	
KEGG_RIBOSOME	1	1	24	88	0	2522	
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	1	24	71	0	2522	
KEGG_RNA_DEGRADATION	1	1	24	59	0	2522	
KEGG_RNA_POLYMERASE	1	1	24	29	0	2522	
KEGG_SELENOAMINO_ACID_METABOLISM	1	1	24	26	0	2522	
KEGG_SMALL_CELL_LUNG_CANCER	1	1	24	84	0	2522	
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1	1	24	38	0	2522	
KEGG_SPHINGOLIPID_METABOLISM	1	1	24	39	0	2522	
KEGG_SPLICEOSOME	1	1	24	127	0	2522	
KEGG_STARCH_AND_SUCROSE_METABOLISM	1	1	24	52	0	2522	
KEGG_STEROID_BIOSYNTHESIS	1	1	24	17	0	2522	
KEGG_STEROID_HORMONE_BIOSYNTHESIS	1	1	24	55	0	2522	
KEGG_SULFUR_METABOLISM	1	1	24	13	0	2522	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	1	1	24	139	0	2522	
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1	1	24	108	0	2522	
KEGG_TASTE_TRANSDUCTION	1	1	24	52	0	2522	
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	1	1	24	10	0	2522	
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	1	1	24	15	0	2522	
KEGG_TGF_BETA_SIGNALING_PATHWAY	1	1	24	85	0	2522	
KEGG_THYROID_CANCER	1	1	24	29	0	2522	
KEGG_TIGHT_JUNCTION	1	1	24	132	0	2522	
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	1	24	102	0	2522	
KEGG_TYPE_I_DIABETES_MELLITUS	1	1	24	43	0	2522	
KEGG_TYPE_II_DIABETES_MELLITUS	1	1	24	47	0	2522	
KEGG_TYROSINE_METABOLISM	1	1	24	42	0	2522	
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1	1	24	134	0	2522	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	1	1	24	44	0	2522	
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	1	1	24	115	0	2522	
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	1	1	24	44	0	2522	
KEGG_VEGF_SIGNALING_PATHWAY	1	1	24	76	0	2522	
KEGG_VIBRIO_CHOLERAE_INFECTION	1	1	24	54	0	2522	
KEGG_VIRAL_MYOCARDITIS	1	1	24	70	0	2522	
KEGG_WNT_SIGNALING_PATHWAY	1	1	24	150	0	2522	
